id,name,section,group,country,image
147, BULLMASTIFF, Pinscher and Schnauzer, Molossian type, GREAT BRITAIN, /bullmastiff.jpg
148, GREYHOUND, Sighthounds, Short-haired Sighthounds, GREAT BRITAIN,/158g10.jpg
149, ENGLISH FOXHOUND, Scent hounds and related breeds, Scent hounds, GREAT BRITAIN,/159g06.jpg
150, IRISH WOLFHOUND, Sighthounds, Rough-haired Sighthounds, IRELAND, /irishwolfhound.jpg
151, BEAGLE, Scent hounds and related breeds, Scent hounds, GREAT BRITAIN,/161g06.jpg
152, WHIPPET, Sighthounds, Short-haired Sighthounds, GREAT BRITAIN,/162g10.jpg
153, BASSET HOUND, Scent hounds and related breeds, Scent hounds, GREAT BRITAIN,/163g06.jpg
154, DEERHOUND, Sighthounds, Rough-haired Sighthounds, GREAT BRITAIN,/164g10.jpg
155, ITALIAN SPINONE, Pointing Dogs, Continental Pointing Dogs, ITALY, /italianspinone.jpg
156, GERMAN SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, GERMANY,/166g01-1.jpg
157, AMERICAN COCKER SPANIEL, Retrievers, Flushing Dogs, UNITED STATES OF AMERICA, /americancockerspaniel.jpg
158, DANDIE DINMONT TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/168g03.jpg
159, FOX TERRIER (WIRE), Terriers, Large and medium sized Terriers, GREAT BRITAIN,/169g03.jpg
160, CASTRO LABOREIRO DOG, Pinscher and Schnauzer, Molossian type, PORTUGAL,/170g02.jpg
161, BOUVIER DES ARDENNES, Sheepdogs and Cattledogs, Cattledogs (except Swiss Cattledogs), BELGIUM, /bouvierdesardennes.jpg
162, POODLE, Companion and Toy Dogs, Poodle, FRANCE,/172g09.jpg
163, ESTRELA MOUNTAIN DOG, Pinscher and Schnauzer, Molossian type, PORTUGAL,/173g02.jpg
164, FRENCH SPANIEL, Pointing Dogs, Continental Pointing Dogs, FRANCE,/175g07.jpg
165, PICARDY SHEEPDOG, Sheepdogs and Cattledogs, Sheepdogs, FRANCE,/176g01.jpg
166, ARIEGE POINTING DOG, Pointing Dogs, Continental Pointing Dogs, FRANCE, /ariegepointingdog.jpg
167, BOURBONNAIS POINTING DOG, Pointing Dogs, Continental Pointing Dogs, FRANCE,/179g07.jpg
168, AUVERGNE POINTER, Pointing Dogs, Continental Pointing Dogs, FRANCE,/180g07.jpg
169, GIANT SCHNAUZER, Pinscher and Schnauzer, Pinscher and Schnauzer type, GERMANY,/181g02.jpg
170, SCHNAUZER, Pinscher and Schnauzer, Pinscher and Schnauzer type, GERMANY,/182g02.jpg
171, MINIATURE SCHNAUZER, Pinscher and Schnauzer, Pinscher and Schnauzer type, GERMANY,/183g02.jpg
172, GERMAN PINSCHER, Pinscher and Schnauzer, Pinscher and Schnauzer type, GERMANY,/184g02.jpg
173, MINIATURE PINSCHER, Pinscher and Schnauzer, Pinscher and Schnauzer type, GERMANY,/185g02.jpg
174, AFFENPINSCHER, Pinscher and Schnauzer, Pinscher and Schnauzer type, GERMANY,/186g02.jpg
175, PORTUGUESE POINTING DOG, Pointing Dogs, Continental Pointing Dogs, PORTUGAL,/187g07.jpg
176, SLOUGHI, Sighthounds, Short-haired Sighthounds, MOROCCO, /sloughi.jpg
177, FINNISH LAPPONIAN DOG, Spitz and primitive types, Nordic Watchdogs and Herders, FINLAND,/189g05-1.jpg
178, HOVAWART, Pinscher and Schnauzer, Molossian type, GERMANY, /hovawart.jpg
179, BOUVIER DES FLANDRES, Sheepdogs and Cattledogs, Cattledogs (except Swiss Cattledogs), BELGIUM AND FRANCE, /bouvierdesflandres.jpg
180, KROMFOHRLANDER, Companion and Toy Dogs, Kromfohrländer, GERMANY,/192g09.jpg
181, BORZOI - RUSSIAN HUNTING SIGHTHOUND, Sighthounds, Long-haired or fringed Sighthounds, RUSSIAN FEDERATION,/193g10.jpg
182, BERGAMASCO SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, ITALY, /bergamascosheepdog.jpg
183, ITALIAN VOLPINO, Spitz and primitive types, European Spitz, ITALY, /italianvolpino.jpg
184, BOLOGNESE, Companion and Toy Dogs, Bichons and related breeds, ITALY, /bolognese.jpg
185, NEAPOLITAN MASTIFF, Pinscher and Schnauzer, Molossian type, ITALY, /neopolitanmastiff.jpg
186, ITALIAN ROUGH-HAIRED SEGUGIO, Scent hounds and related breeds, Scent hounds, ITALY, /italianroughhairedsegugio.jpg
187, CIRNECO DELL'ETNA, Spitz and primitive types, Primitive type - Hunting Dogs, ITALY,/199g05-1.jpg
188, ITALIAN GREYHOUND, Sighthounds, Short-haired Sighthounds, ITALY, /italiangreyhound.jpg
189, MAREMMA ABRUZZES SHEEPDOG, Sheepdogs and Cattledogs, Sheepdogs, ITALY, /maremmaabruzzessheepdog.jpg
190, ITALIAN POINTING DOG, Pointing Dogs, Continental Pointing Dogs, ITALY,/202g07.jpg
191, NORWEGIAN HOUND, Scent hounds and related breeds, Scent hounds, NORWAY,/203g06.jpg
192, SPANISH HOUND, Scent hounds and related breeds, Scent hounds, SPAIN, /spanishhound.jpg
193, CHOW CHOW, Spitz and primitive types, Asian Spitz and related breeds, CHINA,/205g05.jpg
194, JAPANESE CHIN, Companion and Toy Dogs, Japan Chin and Pekingese, JAPAN,/206g09.jpg
195, PEKINGESE, Companion and Toy Dogs, Japan Chin and Pekingese, CHINA,/207g09.jpg
196, SHIH TZU, Companion and Toy Dogs, Tibetan breeds, Tibet (China),/208g09.jpg
197, TIBETAN TERRIER, Companion and Toy Dogs, Tibetan breeds, Tibet (China),/209g09.jpg
198, CANADIAN ESKIMO DOG, Spitz and primitive types, Nordic Sledge Dogs, CANADA,/211g05.jpg
199, SAMOYED, Spitz and primitive types, Nordic Sledge Dogs, NORTHERN RUSSIA AND SIBERIA,/212g05.jpg
